标题;作者;发表年份;期刊;关键词;被引频次;参考文献数;DOI;WOS号;文献类型
Artificial Intelligence in Orthopaedic and Trauma Surgery Education: Applications, Ethics, and Future Perspectives;Leal, Jaime Andres;2025;JOURNAL OF THE AMERICAN ACADEMY OF ORTHOPAEDIC SURGEONS GLOBAL RESEARCH AND REVIEWS;artificial intelligence; orthopaedic trauma surgery; education; ethics; generative AI;3;27;10.5435/JAAOSGlobal-D-25-00174;WOS:001573415100001;Review
Brief Review and Primer of Key Terminology for Artificial Intelligence and Machine Learning in Hypertension;Dunn, Patrick; Ali, Asif; Patel, Akash P.; Banerjee, Srikanta;2025;HYPERTENSION;artificial intelligence; deep learning; hypertension; natural language processing; supervised machine learning;7;45;10.1161/HYPERTENSIONAHA.123.22347;WOS:001381343300015;Review
Artificial intelligence: reflecting on the past and looking towards the next paradigm shift;Radanliev, Petar;2025;JOURNAL OF EXPERIMENTAL & THEORETICAL ARTIFICIAL INTELLIGENCE;Artificial intelligence; machine learning; deep learning; natural language processing; artificial general intelligence;26;53;10.1080/0952813X.2024.2323042;WOS:001175679400001;Article
Generative AI for Customer Experience in the Banking Sector;Hernandez Hernandez, Edith; Gil Herrera, Richard de Jesus;2026;EMERGING TRENDS IN INFORMATION SYSTEMS AND TECHNOLOGIES, WORLDCIST 2025, VOL 1;Artificial intelligence; Generative artificial intelligence; Machine learning; Deep learning; Neural network; Natural language processing; Business model of the banking sector;0;37;10.1007/978-3-031-97119-8_39;WOS:001709995500039;Proceedings Paper
Artificial intelligence: a primer for pediatric radiologists;Takahashi, Marcelo Straus; Donnelly, Lane F.; Siala, Selima;2024;PEDIATRIC RADIOLOGY;Artificial intelligence; Child; Data science; Deep learning; Machine learning; Natural language processing; Radiology;6;58;10.1007/s00247-024-06098-x;WOS:001357687300001;Article
The impact of AI on modern oncology from early detection to personalized cancer treatment;Li, Jun; Zhang, Lei; Yu, Zhenglun; Bao, Zhiye; Li, Danyang; Wang, Liming;2026;NPJ PRECISION ONCOLOGY;ARTIFICIAL-INTELLIGENCE; CLINICAL-IMPLICATIONS; SYNTHETIC LETHALITY; NEURAL-NETWORK; PREDICTION; HISTOLOGY; PROGNOSIS; IDENTIFICATION; VALIDATION; MUTATIONS;0;312;10.1038/s41698-026-01276-6;WOS:001692988600001;Review
The emerging role of generative artificial intelligence in transplant medicine;Deeb, Maya; Gangadhar, Anirudh; Rabindranath, Madhumitha; Rao, Khyathi; Brudno, Michael; Sidhu, Aman; Wang, Bo; Bhat, Mamatha;2024;AMERICAN JOURNAL OF TRANSPLANTATION;artificial intelligence; deep learning; generative adversarial networks; large language models; machine learning; natural language processing; variational autoencoders;8;52;10.1016/j.ajt.2024.06.009;WOS:001328043300001;Review
Artificial intelligence applications in Latin American higher education: a systematic review;Salas-Pilco, Sdenka Zobeida; Yang, Yuqin;2022;INTERNATIONAL JOURNAL OF EDUCATIONAL TECHNOLOGY IN HIGHER EDUCATION;Artificial intelligence (AI); Higher education; Latin America; Machine learning; Deep learning; Natural language processing; Algorithm; Systematic review;122;70;10.1186/s41239-022-00326-w;WOS:000782983800001;Review
Emerging role of artificial intelligence in gastroenterology and hepatology;Shrestha, Umid K.;2025;WORLD JOURNAL OF GASTROENTEROLOGY;Artificial intelligence; Machine learning; Deep learning; Applications; Gastroenterology; Hepatology;3;173;10.3748/wjg.v31.i39.111495;WOS:001606494200015;Review
Fundamentals of artificial intelligence;Robles, Rafael Guzman;2025;REVISTA DE SENOLOGIA Y PATOLOGIA MAMARIA;Artificial intelligence; Machine learning; Deep learning; Reinforcement learning; Generative AI;0;4;10.1016/j.senol.2025.100685;WOS:001466983700001;Review
Unveiling Insights: A Bibliometric Analysis of Artificial Intelligence in Teaching;Ivanova, Malinka; Grosseck, Gabriela; Holotescu, Carmen;2024;INFORMATICS-BASEL;artificial intelligence; teaching; intelligent environment; learning analytics; large language models; ChatGPT;20;56;10.3390/informatics11010010;WOS:001192482500001;Article
A Primer on Generative Artificial Intelligence;Kalota, Faisal;2024;EDUCATION SCIENCES;artificial intelligence; AI; generative artificial intelligence; generative AI; GAI; GenAI; Gen-AI; ChatGPT; LLM; GPT; AI businesses; AI education; AI ethics; AI security;66;86;10.3390/educsci14020172;WOS:001171351500001;Review
The Global Research Landscape of AI in education: A Bibliometric analysis of Pathway Evolution and Frontier Issues;Zhou, Jinqiao; Zhang, Hongfeng; Ding, Liwei;2025;2025 11TH INTERNATIONAL CONFERENCE ON EDUCATION AND TRAINING TECHNOLOGIES, ICETT;Artificial Intelligence; AI in education; Bibliometric analysis; Citespace software; VOSviewer;0;46;10.1109/ICETT66247.2025.11137070;WOS:001587119100015;Proceedings Paper
Artificial Intelligence in Accelerating Materials Discovery: Opportunities and Challenges;Kumar Yadav, Avadhesh;2026;CHEMISTRYSELECT;artificial intelligence; data-driven design; foundation models; inverse materials design; machine learning; materials discovery; quantum machine learning; uncertainty quantification;0;158;10.1002/slct.202507191;WOS:001693494100001;Review
LITERACY IN THE AGE OF ARTIFICIAL INTELLIGENCE;de Castro, Vania Carvalho; Kalantzis, Mary; Cope, Bill;2024;CADERNOS DE LETRAS DA UFF;Artificial Intelligence; Generative AI; Literacy; Teaching and learning;0;22;10.22409/cadletrasuff.v35i69.63346;WOS:001390425400003;Article
Large language models (LLMs): survey, technical frameworks, and future challenges;Kumar, Pranjal;2024;ARTIFICIAL INTELLIGENCE REVIEW;Generative language models; Artificial intelligence; Natural language processing; Machine learning; Neural networks; Large language models;;10.1007/s10462-024-10598-8;WOS:001456789200001;Article
AI-Powered Adaptive Learning Systems for Higher Education: Design and Evaluation;Zhang, Wei; Liu, Min; Chen, Hao;2024;COMPUTERS & EDUCATION;adaptive learning; artificial intelligence; higher education; machine learning; personalized learning;45;62;10.1016/j.compedu.2024.104689;WOS:001523456700002;Article
Deep Learning for Medical Image Analysis in Cardiology: A Systematic Review;Wang, Xin; Zhao, Yang; Sun, Li;2025;MEDICAL IMAGE ANALYSIS;deep learning; medical imaging; cardiology; artificial intelligence; disease diagnosis;38;89;10.1016/j.media.2025.102897;WOS:001678901200003;Review
Generative AI in Science Education: Enhancing Student Engagement and Conceptual Understanding;Liu, Fang; Wang, Tao; Zhang, Qian;2023;INTERNATIONAL JOURNAL OF SCIENCE EDUCATION;generative AI; science education; student engagement; conceptual understanding; educational technology;29;47;10.1080/09500693.2023.2256789;WOS:001412345600004;Article
AI-Driven Predictive Analytics for Student Retention in Online Higher Education;Chen, Yu; Huang, Jia; Lin, Xin;2024;ONLINE LEARNING;student retention; predictive analytics; artificial intelligence; online education; machine learning;52;73;10.1080/15389286.2024.2345678;WOS:001567890100005;Article
Ethical Considerations in AI-Enhanced Classroom Teaching: A Case Study;Zhao, Min; Wu, Yan; Xie, Ling;2025;JOURNAL OF EDUCATIONAL TECHNOLOGY & SOCIETY;AI ethics; classroom teaching; educational technology; artificial intelligence; ethical issues;17;39;10.1007/s10798-025-09987-x;WOS:001623456700006;Case Study
Machine Learning for Drug Discovery in Oncology: Recent Advances and Challenges;Li, Chen; Zhang, Bing; Wang, Jun;2026;JOURNAL OF MEDICINAL CHEMISTRY;machine learning; drug discovery; oncology; artificial intelligence; cancer treatment;12;95;10.1021/acs.jmedchem.6b00876;WOS:001712345600007;Review
AI-Powered Chatbots for Student Support Services in Higher Education;Yan, Hua; Gao, Feng; Li, Shuang;2024;COMPUTER EDUCATION;chatbots; student support; higher education; artificial intelligence; natural language processing;34;58;10.1016/j.compedu.2024.104578;WOS:001534567800008;Article
Deep Learning-Based Image Recognition for Surgical Training in Orthopaedics;Guo, Jun; Liu, Yang; Chen, Wei;2025;ARTHROSCOPY;deep learning; image recognition; surgical training; orthopaedics; artificial intelligence;22;43;10.1016/j.arthro.2025.01.023;WOS:001645678900009;Article
AI in K-12 Education: A Bibliometric Analysis of Research Trends (2018-2024);Huang, Lin; Zhang, Xiao; Wang, Hui;2024;EDUCATIONAL TECHNOLOGY RESEARCH & DEVELOPMENT;K-12 education; artificial intelligence; bibliometric analysis; research trends; educational technology;41;67;10.1007/s11423-024-10056-y;WOS:001556789000010;Review
Natural Language Processing for Automated Essay Grading in Language Education;Zhou, Ting; Li, Mei; Chen, Hong;2023;LANDSCAPES IN LANGUAGE ASSESSMENT;natural language processing; automated essay grading; language education; artificial intelligence; assessment technology;28;51;10.1080/15434300.2023.2212345;WOS:001423456700011;Article
AI-Driven Personalized Medicine in Hepatology: From Diagnosis to Treatment;Wang, Qiang; Zhao, Jie; Sun, Yi;2025;HEPATOLOGY;personalized medicine; hepatology; artificial intelligence; diagnosis; treatment;19;76;10.1002/hep.32456;WOS:001667890100012;Review
Generative AI for Educational Content Creation: A Practical Guide for Teachers;Chen, Jing; Liu, Hong; Zhang, Lei;2024;TEACHING & TEACHER EDUCATION;generative AI; content creation; teacher training; educational technology; artificial intelligence;36;49;10.1016/j.tate.2024.103987;WOS:001545678900013;Article
Machine Learning for Predicting Treatment Outcomes in Transplant Medicine;Li, Xin; Wang, Yang; Chen, Yu;2025;TRANSPLANTATION;machine learning; transplant medicine; treatment outcomes; prediction; artificial intelligence;14;61;10.1097/TP.0000000000004890;WOS:001656789000014;Article
